date,year,quarter,month,month_name,week,day,day_of_week,is_weekend
2016-09-04,2016,3,9,September,35,4,6,1
2016-09-05,2016,3,9,September,36,5,0,0
2016-09-06,2016,3,9,September,36,6,1,0
2016-09-07,2016,3,9,September,36,7,2,0
2016-09-08,2016,3,9,September,36,8,3,0
2016-09-09,2016,3,9,September,36,9,4,0
2016-09-10,2016,3,9,September,36,10,5,1
2016-09-11,2016,3,9,September,36,11,6,1
2016-09-12,2016,3,9,September,37,12,0,0
2016-09-13,2016,3,9,September,37,13,1,0
2016-09-14,2016,3,9,September,37,14,2,0
2016-09-15,2016,3,9,September,37,15,3,0
2016-09-16,2016,3,9,September,37,16,4,0
2016-09-17,2016,3,9,September,37,17,5,1
2016-09-18,2016,3,9,September,37,18,6,1
2016-09-19,2016,3,9,September,38,19,0,0
2016-09-20,2016,3,9,September,38,20,1,0
2016-09-21,2016,3,9,September,38,21,2,0
2016-09-22,2016,3,9,September,38,22,3,0
2016-09-23,2016,3,9,September,38,23,4,0
2016-09-24,2016,3,9,September,38,24,5,1
2016-09-25,2016,3,9,September,38,25,6,1
2016-09-26,2016,3,9,September,39,26,0,0
2016-09-27,2016,3,9,September,39,27,1,0
2016-09-28,2016,3,9,September,39,28,2,0
2016-09-29,2016,3,9,September,39,29,3,0
2016-09-30,2016,3,9,September,39,30,4,0
2016-10-01,2016,4,10,October,39,1,5,1
2016-10-02,2016,4,10,October,39,2,6,1
2016-10-03,2016,4,10,October,40,3,0,0
2016-10-04,2016,4,10,October,40,4,1,0
2016-10-05,2016,4,10,October,40,5,2,0
2016-10-06,2016,4,10,October,40,6,3,0
2016-10-07,2016,4,10,October,40,7,4,0
2016-10-08,2016,4,10,October,40,8,5,1
2016-10-09,2016,4,10,October,40,9,6,1
2016-10-10,2016,4,10,October,41,10,0,0
2016-10-11,2016,4,10,October,41,11,1,0
2016-10-12,2016,4,10,October,41,12,2,0
2016-10-13,2016,4,10,October,41,13,3,0
2016-10-14,2016,4,10,October,41,14,4,0
2016-10-15,2016,4,10,October,41,15,5,1
2016-10-16,2016,4,10,October,41,16,6,1
2016-10-17,2016,4,10,October,42,17,0,0
2016-10-18,2016,4,10,October,42,18,1,0
2016-10-19,2016,4,10,October,42,19,2,0
2016-10-20,2016,4,10,October,42,20,3,0
2016-10-21,2016,4,10,October,42,21,4,0
2016-10-22,2016,4,10,October,42,22,5,1
2016-10-23,2016,4,10,October,42,23,6,1
2016-10-24,2016,4,10,October,43,24,0,0
2016-10-25,2016,4,10,October,43,25,1,0
2016-10-26,2016,4,10,October,43,26,2,0
2016-10-27,2016,4,10,October,43,27,3,0
2016-10-28,2016,4,10,October,43,28,4,0
2016-10-29,2016,4,10,October,43,29,5,1
2016-10-30,2016,4,10,October,43,30,6,1
2016-10-31,2016,4,10,October,44,31,0,0
2016-11-01,2016,4,11,November,44,1,1,0
2016-11-02,2016,4,11,November,44,2,2,0
2016-11-03,2016,4,11,November,44,3,3,0
2016-11-04,2016,4,11,November,44,4,4,0
2016-11-05,2016,4,11,November,44,5,5,1
2016-11-06,2016,4,11,November,44,6,6,1
2016-11-07,2016,4,11,November,45,7,0,0
2016-11-08,2016,4,11,November,45,8,1,0
2016-11-09,2016,4,11,November,45,9,2,0
2016-11-10,2016,4,11,November,45,10,3,0
2016-11-11,2016,4,11,November,45,11,4,0
2016-11-12,2016,4,11,November,45,12,5,1
2016-11-13,2016,4,11,November,45,13,6,1
2016-11-14,2016,4,11,November,46,14,0,0
2016-11-15,2016,4,11,November,46,15,1,0
2016-11-16,2016,4,11,November,46,16,2,0
2016-11-17,2016,4,11,November,46,17,3,0
2016-11-18,2016,4,11,November,46,18,4,0
2016-11-19,2016,4,11,November,46,19,5,1
2016-11-20,2016,4,11,November,46,20,6,1
2016-11-21,2016,4,11,November,47,21,0,0
2016-11-22,2016,4,11,November,47,22,1,0
2016-11-23,2016,4,11,November,47,23,2,0
2016-11-24,2016,4,11,November,47,24,3,0
2016-11-25,2016,4,11,November,47,25,4,0
2016-11-26,2016,4,11,November,47,26,5,1
2016-11-27,2016,4,11,November,47,27,6,1
2016-11-28,2016,4,11,November,48,28,0,0
2016-11-29,2016,4,11,November,48,29,1,0
2016-11-30,2016,4,11,November,48,30,2,0
2016-12-01,2016,4,12,December,48,1,3,0
2016-12-02,2016,4,12,December,48,2,4,0
2016-12-03,2016,4,12,December,48,3,5,1
2016-12-04,2016,4,12,December,48,4,6,1
2016-12-05,2016,4,12,December,49,5,0,0
2016-12-06,2016,4,12,December,49,6,1,0
2016-12-07,2016,4,12,December,49,7,2,0
2016-12-08,2016,4,12,December,49,8,3,0
2016-12-09,2016,4,12,December,49,9,4,0
2016-12-10,2016,4,12,December,49,10,5,1
2016-12-11,2016,4,12,December,49,11,6,1
2016-12-12,2016,4,12,December,50,12,0,0
2016-12-13,2016,4,12,December,50,13,1,0
2016-12-14,2016,4,12,December,50,14,2,0
2016-12-15,2016,4,12,December,50,15,3,0
2016-12-16,2016,4,12,December,50,16,4,0
2016-12-17,2016,4,12,December,50,17,5,1
2016-12-18,2016,4,12,December,50,18,6,1
2016-12-19,2016,4,12,December,51,19,0,0
2016-12-20,2016,4,12,December,51,20,1,0
2016-12-21,2016,4,12,December,51,21,2,0
2016-12-22,2016,4,12,December,51,22,3,0
2016-12-23,2016,4,12,December,51,23,4,0
2016-12-24,2016,4,12,December,51,24,5,1
2016-12-25,2016,4,12,December,51,25,6,1
2016-12-26,2016,4,12,December,52,26,0,0
2016-12-27,2016,4,12,December,52,27,1,0
2016-12-28,2016,4,12,December,52,28,2,0
